Tópico,Subtópico,Perfil,Criticidade,Resumo,Description,Auditoria - Descrição,Auditoria – REGEX
1,Kernel,Light,Alta,Bloqueio cramfs,Bloquear módulo cramfs persistentemente via modprobe.d e remover se carregado.,Verificar se módulo cramfs está bloqueado,"(modinfo cramfs &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+cramfs\b' && ! lsmod | grep -q cramfs) || (! modinfo cramfs &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
2,Kernel,Light,Alta,Bloqueio squashfs,Bloquear módulo squashfs persistentemente via modprobe.d e remover se carregado.,Verificar se módulo squashfs está bloqueado,"(modinfo squashfs &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+squashfs\b' && ! lsmod | grep -q squashfs) || (! modinfo squashfs &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
3,Kernel,Light,Média,Bloqueio udf,Bloquear módulo udf persistentemente via modprobe.d e remover se carregado.,Verificar se módulo udf está bloqueado,"(modinfo udf &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+udf\b' && ! lsmod | grep -q udf) || (! modinfo udf &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
4,Kernel,Light,Alta,Bloqueio hfs,Bloquear módulo hfs persistentemente via modprobe.d e remover se carregado.,Verificar se módulo hfs está bloqueado,"(modinfo hfs &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+hfs\b' && ! lsmod | grep -q hfs) || (! modinfo hfs &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
5,Kernel,Light,Alta,Bloqueio hfsplus,Bloquear módulo hfsplus persistentemente via modprobe.d e remover se carregado.,Verificar se módulo hfsplus está bloqueado,"(modinfo hfsplus &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+hfsplus\b' && ! lsmod | grep -q hfsplus) || (! modinfo hfsplus &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
6,Kernel,Light,Alta,Bloqueio jffs2,Bloquear módulo jffs2 persistentemente via modprobe.d e remover se carregado.,Verificar se módulo jffs2 está bloqueado,"(modinfo jffs2 &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+jffs2\b' && ! lsmod | grep -q jffs2) || (! modinfo jffs2 &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
7,Kernel,Light,Alta,Bloqueio freevxfs,Bloquear módulo freevxfs persistentemente via modprobe.d e remover se carregado.,Verificar se módulo freevxfs está bloqueado,"(modinfo freevxfs &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+freevxfs\b' && ! lsmod | grep -q freevxfs) || (! modinfo freevxfs &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
8,Kernel,Full,Média,Desabilitar overlayfs quando nao for requisito,Desabilitar o modulo overlayfs,Checa se overlay nao esta carregado e se ha regra de bloqueio,"(modinfo overlay &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+overlay\b' && ! lsmod | grep -q overlay) || (! modinfo overlay &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
9,Kernel,Light,Alta,Bloqueio usb_storage,Bloquear módulo usb_storage persistentemente.,Verificar se usb_storage está bloqueado,"(modinfo usb-storage &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+usb_storage\b' && ! lsmod | grep -q usb_storage) || (! modinfo usb-storage &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
10,Kernel,Full,Alta,Desabilitar modulo DCCP,Desabilitar o modulo dccp,Confere se dccp nao esta carregado e se existe regra de bloqueio,"(modinfo dccp &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+dccp\b' && ! lsmod | grep -q dccp) || (! modinfo dccp &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
11,Kernel,Full,Alta,Desabilitar modulo SCTP quando nao requerido,Desabilitar o modulo sctp,Checa se sctp nao esta carregado e se esta bloqueado em modprobe,"(modinfo sctp &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+sctp\b' && ! lsmod | grep -q sctp) || (! modinfo sctp &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
12,Kernel,Full,Alta,Desabilitar modulo RDS,Desabilitar o modulo rds,Valida que rds nao esta ativo e esta proibido em modprobe,"(modinfo rds &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+rds\b' && ! lsmod | grep -q rds) || (! modinfo rds &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
13,Kernel,Full,Alta,Desabilitar modulo TIPC,Desabilitar o modulo tipc,Checa se tipc nao esta carregado e se ha bloqueio configurado,"(modinfo tipc &>/dev/null && modprobe --showconfig | grep -Pq '\b(install|blacklist)\h+tipc\b' && ! lsmod | grep -q tipc) || (! modinfo tipc &>/dev/null) && echo ""PASS"" || echo ""FAIL"""
14,Kernel,Full,Alta,Core dumps restritos,Restringir core dumps em especial de binarios setuid,Verifica limite de core e valor de fs suid dumpable igual a zero,"(ulimit -c 0 && sysctl -n fs.suid_dumpable | grep -q '^0$') && echo ""PASS"" || echo ""FAIL"""
15,Kernel,Light,Alta,SUID dump off,Configurar fs.suid_dumpable=0 persistentemente.,Verificar valor de fs.suid_dumpable,"(sysctl -n fs.suid_dumpable | grep -q '^0$') && echo ""PASS"" || echo ""FAIL"""
16,Kernel,Full,Alta,NX XD ativo,Habilitar NX ou XD no hardware e no kernel,Checa suporte a nx na cpu e mensagem de ativacao no dmesg,"(grep -q 'nx' /proc/cpuinfo && dmesg | grep -qi 'NX.*active') && echo ""PASS"" || echo ""FAIL"""
17,Kernel,Full,Média,ASLR habilitado,Habilitar ASLR completo para espaco de enderecamento,Verifica kernel randomize va space igual a dois,"(sysctl -n kernel.randomize_va_space | grep -q '^2$') && echo ""PASS"" || echo ""FAIL"""
18,Kernel,Light,Média,ASLR completo,Configurar ASLR completo via sysctl persistente.,Verificar randomize_va_space,"(sysctl -n kernel.randomize_va_space | grep -q '^2$') && echo ""PASS"" || echo ""FAIL"""
19,Kernel,Full,Alta,perf event restrito,Restringir perf event para usuarios nao privilegiados,Verifica kernel perf event paranoid em nivel mais restritivo,"(sysctl -n kernel.perf_event_paranoid | grep -q '^[2-3]$') && echo ""PASS"" || echo ""FAIL"""
20,Kernel,Light,Média,perf_event restrito,Configurar perf_event_paranoid restritivo via sysctl persistente.,Verificar perf_event_paranoid,"(sysctl -n kernel.perf_event_paranoid | grep -q '^[2-3]$') && echo ""PASS"" || echo ""FAIL"""
21,Kernel,Light,Alta,dmesg restrito,Configurar dmesg_restrict=1 via sysctl persistente.,Verificar dmesg_restrict,"(sysctl -n kernel.dmesg_restrict | grep -q '^1$') && echo ""PASS"" || echo ""FAIL"""
22,Kernel,Full,Alta,protected symlinks,Ativar protecao de symlinks em diretorios sensiveis,Checa fs protected symlinks igual a um,"(sysctl -n fs.protected_symlinks | grep -q '^1$') && echo ""PASS"" || echo ""FAIL"""
23,Kernel,Light,Alta,Symlinks protegidos,Configurar fs.protected_symlinks=1 persistentemente.,Verificar protected_symlinks,"(sysctl -n fs.protected_symlinks | grep -q '^1$') && echo ""PASS"" || echo ""FAIL"""
24,Kernel,Light,Alta,Hardlinks protegidos,Configurar fs.protected_hardlinks=1 persistentemente.,Verificar protected_hardlinks,"(sysctl -n fs.protected_hardlinks | grep -q '^1$') && echo ""PASS"" || echo ""FAIL"""
25,Filesystem,Full,Média,Particao dedicada para tmp,Usar particao ou ponto dedicado para tmp,Verifica se existe montagem especifica para tmp via findmnt,"(findmnt -kn /tmp >/dev/null && echo ""PASS"" || echo ""FAIL"")"
